         rBB           TC       retneg
  0.00970439   0.13440000  21.44743007 
  0.00972440   0.13408000  21.49166560 
  0.00974442   0.13376000  21.53590114 
  0.00976443   0.13344000  21.58013668 
  0.00978445   0.13312000  21.62437221 
  0.00980446   0.13280000  21.66860775 
  0.00982448   0.13256000  21.71284329 
  0.00984450   0.13224000  21.75707883 
  0.00986451   0.13192000  21.80131436 
  0.00988453   0.13160000  21.84554990 
  0.00990454   0.13128000  21.88978544 
  0.00992456   0.13104000  21.93402097 
  0.00994457   0.13072000  21.97825651 
  0.00996459   0.13040000  22.02249205 
  0.00998460   0.13008000  22.06672759 
  0.01000462   0.12984000  22.11096312 
  0.01002463   0.12952000  22.15519866 
  0.01004465   0.12920000  22.19943420 
  0.01006467   0.12896000  22.24366973 
  0.01008468   0.12864000  22.28790527 
  0.01010470   0.12832000  22.33214081 
  0.01012471   0.12808000  22.37637635 
  0.01014473   0.12776000  22.42061188 
  0.01016474   0.12744000  22.46484742 
  0.01018476   0.12720000  22.50908296 
  0.01020477   0.12688000  22.55331849 
  0.01022479   0.12664000  22.59755403 
  0.01024480   0.12632000  22.64178957 
  0.01026482   0.12600000  22.68602511 
  0.01028483   0.12576000  22.73026064 
  0.01030485   0.12544000  22.77449618 
  0.01032487   0.12520000  22.81873172 
  0.01034488   0.12488000  22.86296725 
  0.01036490   0.12464000  22.90720279 
  0.01038491   0.12432000  22.95143833 
  0.01040493   0.12408000  22.99567387 
  0.01042494   0.12376000  23.03990940 
  0.01044496   0.12352000  23.08414494 
  0.01046497   0.12320000  23.12838048 
  0.01048499   0.12296000  23.17261602 
  0.01050500   0.12264000  23.21685155 
  0.01052502   0.12240000  23.26108709 
  0.01054503   0.12208000  23.30532263 
  0.01056505   0.12184000  23.34955816 
  0.01058507   0.12152000  23.39379370 
  0.01060508   0.12128000  23.43802924 
  0.01062510   0.12096000  23.48226478 
  0.01064511   0.12072000  23.52650031 
  0.01066513   0.12048000  23.57073585 
  0.01068514   0.12016000  23.61497139 
  0.01070516   0.11992000  23.65920692 
  0.01072517   0.11960000  23.70344246 
  0.01074519   0.11936000  23.74767800 
  0.01076520   0.11912000  23.79191354 
  0.01078522   0.11880000  23.83614907 
  0.01080523   0.11856000  23.88038461 
  0.01082525   0.11832000  23.92462015 
  0.01084527   0.11800000  23.96885568 
  0.01086528   0.11776000  24.01309122 
  0.01088530   0.11752000  24.05732676 
  0.01090531   0.11720000  24.10156230 
  0.01092533   0.11696000  24.14579783 
  0.01094534   0.11672000  24.19003337 
  0.01096536   0.11640000  24.23426891 
  0.01098537   0.11616000  24.27850444 
  0.01100539   0.11592000  24.32273998 
  0.01102540   0.11568000  24.36697552 
  0.01104542   0.11536000  24.41121106 
  0.01106543   0.11512000  24.45544659 
  0.01108545   0.11488000  24.49968213 
  0.01110547   0.11464000  24.54391767 
  0.01112548   0.11440000  24.58815320 
  0.01114550   0.11408000  24.63238874 
  0.01116551   0.11384000  24.67662428 
  0.01118553   0.11360000  24.72085982 
  0.01120554   0.11336000  24.76509535 
  0.01122556   0.11312000  24.80933089 
  0.01124557   0.11280000  24.85356643 
  0.01126559   0.11256000  24.89780197 
  0.01128560   0.11232000  24.94203750 
  0.01130562   0.11208000  24.98627304 
  0.01132564   0.11184000  25.03050858 
  0.01134565   0.11160000  25.07474411 
  0.01136567   0.11136000  25.11897965 
  0.01138568   0.11104000  25.16321519 
  0.01140570   0.11080000  25.20745073 
  0.01142571   0.11056000  25.25168626 
  0.01144573   0.11032000  25.29592180 
  0.01146574   0.11008000  25.34015734 
  0.01148576   0.10984000  25.38439287 
  0.01150577   0.10960000  25.42862841 
  0.01152579   0.10936000  25.47286395 
  0.01154580   0.10912000  25.51709949 
